train_id,avg_speed_kmph,base_dwell_min,punctuality_bias,congestion_sensitivity,recovery_rate,origin_dep_minutes
12000,72.0501755284444,4.832290311184182,-1.8778975437398084,0.5181899606485207,0.2550213529560302,459
12001,72.52439222197265,2.0282652208788696,2.1702401743438586,0.3276749100496989,0.35743239807751676,510
12002,51.277223729341884,3.1685785941408726,-2.813375206829629,1.2422111536716163,0.25990213464750794,1267
12003,71.65865559879191,2.185801650879991,-8.558482624304958,1.029053822281726,0.2511572371061875,166
12004,45.596923252193996,5.768807022739411,-8.106878462920369,0.319159502664257,0.2692681476866447,91
12005,64.80686221828206,2.4881529393791153,4.47769444624735,0.8942122921335243,0.21031655633456553,205
12006,62.597727340795835,2.7289443511522493,-1.7869658838925842,0.5495299954418266,0.3703100983459975,702
12007,82.90281485677494,3.7990165334790627,6.096966531420825,0.7741802832021774,0.47799765973813824,815
12008,59.69433459626259,4.281775897621598,2.257856954220543,1.3134406184137817,0.4241960330412142,878
12009,82.29318791183681,3.427013306774357,0.10200267232539349,0.6371214116248569,0.3628088249474746,1064
12010,58.332307756683704,2.66106775625201,-0.17414720989399163,0.7738578218106836,0.28804645241541144,1086
12011,81.69576428046753,4.8274293753904685,-1.1012036409855712,1.1748086016491848,0.4313811040057837,230
12012,74.2984661475875,5.659838702175123,-0.6728203523963403,0.41449213978849353,0.3112454756594799,804
12013,77.83227802521289,4.550229885420853,4.659074582018095,1.364655291091592,0.34166447754858476,612
12014,88.72704429250967,5.395655297064335,-3.7350513636482,0.6072819873135887,0.2121300768615294,206
12015,64.23934582613474,2.1016765069763808,3.1368327506157536,0.4294697123919653,0.2094287557060203,742
12016,66.39166004319503,4.253102287905534,-3.1281913051993575,1.0253008551333807,0.361952327390502,540
12017,55.29591744712301,2.307919639315172,1.6957722791637364,0.6477017434965215,0.24836638617620133,577
12018,73.0959321660207,3.182534743350856,-0.42102853600471773,0.5621285246602004,0.32495298436110986,1354
12019,59.59552594523733,2.4883518188026934,-3.8213857788708188,0.7275574056923699,0.4720485324637262,1408
12020,55.257082314387375,3.7084311545050253,1.1844811082583042,0.3083425566374288,0.3532241907732697,648
12021,66.81734871115424,4.769744131561081,1.0442210887195573,0.6232948005582257,0.27323765667433225,1397
12022,54.84438988078816,4.232408008069365,-2.6509532535128537,0.6046984967212137,0.27406281885158035,1409
12023,77.0521765465999,2.5923477198135996,-0.5858912269664649,1.4972885820587303,0.2800343042825855,1
12024,67.62055604529877,2.2059150049999574,1.9110163977341084,0.5874742688003669,0.24346846162736693,729
